f,ax,ay,az,mx,my,mz,gx,gy,gz,t,p,h
270,-1.01,0.35,9.82,9.67,-32.00,20.50,22.00,-33.00,4.00,34.80,101242,0.00
292,-0.96,0.44,9.77,9.00,-32.17,20.17,22.00,-32.00,3.00,34.80,101252,0.00
315,-1.01,0.39,9.86,9.83,-32.17,20.67,21.00,-33.00,4.00,34.80,101249,0.00
338,-0.96,0.48,9.73,9.67,-31.83,20.67,21.00,-33.00,4.00,34.80,101242,0.00
361,-1.01,0.44,9.91,9.67,-31.83,20.83,21.00,-32.00,3.00,34.90,101249,-0.20
391,-0.96,0.39,9.82,9.50,-31.50,20.50,21.00,-32.00,3.00,34.90,101259,-1.09
413,-1.01,0.44,9.91,9.33,-32.00,21.00,22.00,-33.00,3.00,34.90,101249,-0.20
437,-0.88,0.39,9.91,9.33,-31.67,20.50,22.00,-33.00,3.00,34.90,101262,-1.36
459,-1.01,0.48,9.86,9.83,-32.00,21.00,22.00,-33.00,3.00,34.90,101252,-0.47
482,-0.96,0.39,9.86,9.50,-31.67,20.17,22.00,-32.00,3.00,34.90,101252,-0.47
505,-1.01,0.48,9.82,9.17,-31.67,20.17,21.00,-33.00,4.00,34.90,101255,-0.73
528,-1.05,0.48,9.86,9.67,-32.00,20.67,22.00,-33.00,3.00,34.90,101259,-1.09
555,-1.01,0.44,9.73,9.17,-32.00,20.17,21.00,-33.00,3.00,34.90,101249,-0.20
578,-1.01,0.39,9.73,9.33,-32.00,20.67,22.00,-32.00,3.00,34.90,101255,-0.73
601,-0.92,0.44,9.77,9.50,-31.83,20.50,22.00,-34.00,3.00,34.90,101246,0.07
623,-1.05,0.44,9.82,9.50,-32.00,20.83,21.00,-33.00,4.00,34.90,101255,-0.73
647,-1.01,0.44,9.77,9.83,-32.33,20.67,21.00,-32.00,3.00,34.90,101242,0.43
669,-1.05,0.44,9.82,9.33,-31.83,20.33,21.00,-32.00,3.00,34.90,101249,-0.20
692,-1.01,0.44,9.77,9.33,-31.83,20.33,22.00,-33.00,1.00,34.80,101239,0.70
718,-0.96,0.39,9.82,9.50,-32.00,20.17,21.00,-32.00,3.00,34.90,101252,-0.47
742,-1.01,0.48,9.82,9.50,-31.67,20.50,22.00,-34.00,3.00,34.90,101265,-1.63
764,-1.01,0.48,9.77,9.50,-31.00,20.17,22.00,-32.00,3.00,34.90,101246,0.07
787,-1.01,0.44,9.86,9.50,-31.33,21.00,22.00,-32.00,3.00,34.90,101249,-0.20
811,-1.01,0.48,9.86,9.83,-31.83,20.67,21.00,-32.00,3.00,34.90,101252,-0.47
833,-1.01,0.39,9.73,9.33,-31.67,20.33,21.00,-32.00,4.00,34.90,101246,0.07
856,-0.92,0.44,9.77,9.83,-31.50,20.67,21.00,-31.00,3.00,34.90,101249,-0.20
882,-1.01,0.39,9.77,8.83,-31.50,20.50,22.00,-31.00,3.00,34.90,101249,-0.20
906,-1.01,0.44,9.82,9.33,-31.67,20.33,20.00,-32.00,3.00,34.90,101249,-0.20
928,-1.01,0.39,9.82,9.50,-31.33,20.50,22.00,-33.00,3.00,34.90,101255,-0.73
951,-0.92,0.44,9.91,9.33,-32.00,20.50,22.00,-32.00,3.00,34.90,101252,-0.47
974,-1.01,0.44,9.77,9.17,-32.00,20.33,22.00,-33.00,4.00,34.90,101252,-0.47
997,-1.01,0.44,9.86,9.33,-31.83,20.33,21.00,-33.00,3.00,34.90,101255,-0.73
1024,-1.01,0.44,9.77,9.67,-31.67,20.50,22.00,-33.00,3.00,34.90,101246,0.07
1047,-0.92,0.44,9.82,9.67,-31.83,20.17,22.00,-32.00,2.00,34.90,101242,0.43
1070,-0.92,0.44,9.86,9.33,-31.83,20.83,22.00,-33.00,2.00,34.90,101252,-0.47
1092,-1.05,0.53,9.82,9.50,-32.17,20.67,22.00,-33.00,4.00,34.90,101259,-1.09
1116,-1.01,0.44,9.86,9.50,-31.33,20.17,22.00,-34.00,3.00,34.90,101246,0.07
1138,-0.96,0.48,9.77,9.17,-31.50,20.50,21.00,-33.00,2.00,34.90,101255,-0.73
1162,-0.92,0.44,9.73,9.33,-31.83,20.50,23.00,-32.00,3.00,34.90,101252,-0.47
